USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0 10856332  3060 do_epoll_wait       0 S init
root             2     0       0      0 kthreadd            0 S [kthreadd]
root             3     2       0      0 rescuer_thread      0 I [rcu_gp]
root             4     2       0      0 rescuer_thread      0 I [rcu_par_gp]
root             6     2       0      0 worker_thread       0 I [kworker/0:0H]
root             8     2       0      0 rescuer_thread      0 I [mm_percpu_wq]
root            10     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/0]
root            11     2       0      0 rcu_gp_kthread      0 I [rcu_preempt]
root            12     2       0      0 smpboot_thread_fn   0 S [migration/0]
root            14     2       0      0 smpboot_thread_fn   0 S [cpuhp/0]
root            15     2       0      0 smpboot_thread_fn   0 S [cpuhp/1]
root            16     2       0      0 smpboot_thread_fn   0 S [migration/1]
root            17     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/1]
root            19     2       0      0 worker_thread       0 I [kworker/1:0H-kblockd]
root            20     2       0      0 smpboot_thread_fn   0 S [cpuhp/2]
root            21     2       0      0 smpboot_thread_fn   0 S [migration/2]
root            22     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/2]
root            24     2       0      0 worker_thread       0 I [kworker/2:0H-kblockd]
root            25     2       0      0 smpboot_thread_fn   0 S [cpuhp/3]
root            26     2       0      0 smpboot_thread_fn   0 S [migration/3]
root            27     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/3]
root            29     2       0      0 worker_thread       0 I [kworker/3:0H-kblockd]
root            30     2       0      0 smpboot_thread_fn   0 S [cpuhp/4]
root            31     2       0      0 smpboot_thread_fn   0 S [migration/4]
root            32     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/4]
root            34     2       0      0 worker_thread       0 I [kworker/4:0H-kblockd]
root            35     2       0      0 smpboot_thread_fn   0 S [cpuhp/5]
root            36     2       0      0 smpboot_thread_fn   0 S [migration/5]
root            37     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/5]
root            39     2       0      0 worker_thread       0 I [kworker/5:0H-kblockd]
root            40     2       0      0 smpboot_thread_fn   0 S [cpuhp/6]
root            41     2       0      0 smpboot_thread_fn   0 S [migration/6]
